orchard_id,latitude,longitude,ndvi,year,doy,Municipality
X12,41.10728836,36.68497849,0.8453,2016,193,Samsun
X12,41.10728836,36.68497849,0.811,2016,209,Samsun
X12,41.10728836,36.68497849,0.7741,2016,225,Samsun
X12,41.10728836,36.68497849,0.7748,2016,241,Samsun
X12,41.10728836,36.68497849,0.7561,2016,257,Samsun
X12,41.10728836,36.68497849,0.703,2016,273,Samsun
X12,41.10728836,36.68497849,0.7124,2016,289,Samsun
X12,41.10728836,36.68497849,0.6249,2016,305,Samsun
X12,41.10728836,36.68497849,0.5772,2016,321,Samsun
X12,41.10728836,36.68497849,0.5241,2016,337,Samsun
X12,41.10728836,36.68497849,0.5011,2016,353,Samsun
X12,41.10728836,36.68497849,0.5093,2017,1,Samsun
X12,41.10728836,36.68497849,0.5329,2017,17,Samsun
X12,41.10728836,36.68497849,0.0596,2017,33,Samsun
X12,41.10728836,36.68497849,0.4826,2017,49,Samsun
X12,41.10728836,36.68497849,0.5248,2017,65,Samsun
X12,41.10728836,36.68497849,0.6696,2017,81,Samsun
X12,41.10728836,36.68497849,0.778,2017,97,Samsun
X12,41.10728836,36.68497849,0.8542,2017,113,Samsun
X12,41.10728836,36.68497849,0.8154,2017,129,Samsun
X12,41.10728836,36.68497849,0.8755,2017,145,Samsun
X12,41.10728836,36.68497849,0.8568,2017,161,Samsun
X12,41.10728836,36.68497849,0.8507,2017,177,Samsun
X12,41.10728836,36.68497849,0.8331,2017,193,Samsun
X12,41.10728836,36.68497849,0.7912,2017,209,Samsun
X12,41.10728836,36.68497849,0.7838,2017,225,Samsun
X12,41.10728836,36.68497849,0.7488,2017,241,Samsun
X12,41.10728836,36.68497849,0.675,2017,257,Samsun
X12,41.10728836,36.68497849,0.7159,2017,273,Samsun
X12,41.10728836,36.68497849,0.6499,2017,289,Samsun
X12,41.10728836,36.68497849,0.6251,2017,305,Samsun
X12,41.10728836,36.68497849,0.5627,2017,321,Samsun
X12,41.10728836,36.68497849,0.5459,2017,337,Samsun
X12,41.10728836,36.68497849,0.5737,2017,353,Samsun
X12,41.10728836,36.68497849,0.5454,2018,1,Samsun
X12,41.10728836,36.68497849,0.5282,2018,17,Samsun
X12,41.10728836,36.68497849,0.5009,2018,33,Samsun
X12,41.10728836,36.68497849,0.2941,2018,49,Samsun
X12,41.10728836,36.68497849,0.5981,2018,65,Samsun
X12,41.10728836,36.68497849,0.7887,2018,81,Samsun
X12,41.10728836,36.68497849,0.7804,2018,97,Samsun
X12,41.10728836,36.68497849,0.8189,2018,113,Samsun
X12,41.10728836,36.68497849,0.8706,2018,129,Samsun
X12,41.10728836,36.68497849,0.8408,2018,145,Samsun
X12,41.10728836,36.68497849,0.8462,2018,161,Samsun
X12,41.10728836,36.68497849,0.8539,2018,177,Samsun
X12,41.10728836,36.68497849,0.8232,2018,193,Samsun
X12,41.10728836,36.68497849,0.8094,2018,209,Samsun
X12,41.10728836,36.68497849,0.8181,2018,225,Samsun
X12,41.10728836,36.68497849,0.8122,2018,241,Samsun
X12,41.10728836,36.68497849,0.8006,2018,257,Samsun
X12,41.10728836,36.68497849,0.7522,2018,273,Samsun
X12,41.10728836,36.68497849,0.6541,2018,289,Samsun
X12,41.10728836,36.68497849,0.6134,2018,305,Samsun
X12,41.10728836,36.68497849,0.6069,2018,321,Samsun
X12,41.10728836,36.68497849,0.5423,2018,337,Samsun
X12,41.10728836,36.68497849,0.5867,2018,353,Samsun
X12,41.10728836,36.68497849,0.0392,2019,1,Samsun
X12,41.10728836,36.68497849,0.5565,2019,17,Samsun
X12,41.10728836,36.68497849,0.5082,2019,33,Samsun
X12,41.10728836,36.68497849,0.5085,2019,49,Samsun
X12,41.10728836,36.68497849,0.559,2019,65,Samsun
X12,41.10728836,36.68497849,0.6544,2019,81,Samsun
X12,41.10728836,36.68497849,0.7125,2019,97,Samsun
X12,41.10728836,36.68497849,0.8179,2019,113,Samsun
X12,41.10728836,36.68497849,0.8639,2019,129,Samsun
X12,41.10728836,36.68497849,0.8308,2019,145,Samsun
X12,41.10728836,36.68497849,0.7303,2019,161,Samsun
X12,41.10728836,36.68497849,0.851,2019,177,Samsun
X12,41.10728836,36.68497849,0.8669,2019,193,Samsun
X12,41.10728836,36.68497849,0.853,2019,209,Samsun
X12,41.10728836,36.68497849,0.7971,2019,225,Samsun
X12,41.10728836,36.68497849,0.8211,2019,241,Samsun
X12,41.10728836,36.68497849,0.7846,2019,257,Samsun
X12,41.10728836,36.68497849,0.7948,2019,273,Samsun
X12,41.10728836,36.68497849,0.6999,2019,289,Samsun
X12,41.10728836,36.68497849,0.6007,2019,305,Samsun
X12,41.10728836,36.68497849,0.5791,2019,321,Samsun
X12,41.10728836,36.68497849,0.5385,2019,337,Samsun
X12,41.10728836,36.68497849,0.594,2019,353,Samsun
X12,41.10728836,36.68497849,0.5264,2020,1,Samsun
X12,41.10728836,36.68497849,0.533,2020,17,Samsun
X12,41.10728836,36.68497849,0.503,2020,33,Samsun
X12,41.10728836,36.68497849,0.4998,2020,49,Samsun
X12,41.10728836,36.68497849,0.5153,2020,65,Samsun
X12,41.10728836,36.68497849,0.6953,2020,81,Samsun
X12,41.10728836,36.68497849,0.7987,2020,97,Samsun
X12,41.10728836,36.68497849,0.8089,2020,113,Samsun
X12,41.10728836,36.68497849,0.8288,2020,129,Samsun
X12,41.10728836,36.68497849,0.8394,2020,145,Samsun
X12,41.10728836,36.68497849,0.8367,2020,161,Samsun
X12,41.10728836,36.68497849,0.8487,2020,177,Samsun
X12,41.10728836,36.68497849,0.8694,2020,193,Samsun
X12,41.10728836,36.68497849,0.8288,2020,209,Samsun
X12,41.10728836,36.68497849,0.7977,2020,225,Samsun
X12,41.10728836,36.68497849,0.7705,2020,241,Samsun
X12,41.10728836,36.68497849,0.7594,2020,257,Samsun
X12,41.10728836,36.68497849,0.7436,2020,273,Samsun
X12,41.10728836,36.68497849,0.6733,2020,289,Samsun
X12,41.10728836,36.68497849,0.6452,2020,305,Samsun
X12,41.10728836,36.68497849,0.5879,2020,321,Samsun
X12,41.10728836,36.68497849,0.4825,2020,337,Samsun
X12,41.10728836,36.68497849,0.4913,2020,353,Samsun
X12,41.10728836,36.68497849,0.4676,2021,1,Samsun
X12,41.10728836,36.68497849,0.4662,2021,17,Samsun
X12,41.10728836,36.68497849,0.5005,2021,33,Samsun
X12,41.10728836,36.68497849,0.4851,2021,49,Samsun
X12,41.10728836,36.68497849,0.5604,2021,65,Samsun
X12,41.10728836,36.68497849,0.6301,2021,81,Samsun
X12,41.10728836,36.68497849,0.7299,2021,97,Samsun
X12,41.10728836,36.68497849,0.7793,2021,113,Samsun
X12,41.10728836,36.68497849,0.8703,2021,129,Samsun
X12,41.10728836,36.68497849,0.835,2021,145,Samsun
X12,41.10728836,36.68497849,0.8432,2021,161,Samsun
X12,41.10728836,36.68497849,0.799,2021,177,Samsun
X12,41.10728836,36.68497849,0.8111,2021,193,Samsun
X12,41.10728836,36.68497849,0.8454,2021,209,Samsun
X12,41.10728836,36.68497849,0.7874,2021,225,Samsun
X12,41.10728836,36.68497849,0.8156,2021,241,Samsun
X12,41.10728836,36.68497849,0.8121,2021,257,Samsun
X12,41.10728836,36.68497849,0.752,2021,273,Samsun
X12,41.10728836,36.68497849,0.736,2021,289,Samsun
X12,41.10728836,36.68497849,0.6825,2021,305,Samsun
X12,41.10728836,36.68497849,0.5579,2021,321,Samsun
X12,41.10728836,36.68497849,0.5233,2021,337,Samsun
X12,41.10728836,36.68497849,0.6048,2021,353,Samsun
X12,41.10728836,36.68497849,0.518,2022,1,Samsun
X12,41.10728836,36.68497849,0.4885,2022,17,Samsun
X12,41.10728836,36.68497849,0.5056,2022,33,Samsun
X12,41.10728836,36.68497849,0.519,2022,49,Samsun
X12,41.10728836,36.68497849,0.5683,2022,65,Samsun
X12,41.10728836,36.68497849,0.4566,2022,81,Samsun
X12,41.10728836,36.68497849,0.7267,2022,97,Samsun
X12,41.10728836,36.68497849,0.6532,2022,113,Samsun
X12,41.10728836,36.68497849,0.8221,2022,129,Samsun
X12,41.10728836,36.68497849,0.8282,2022,145,Samsun
X12,41.10728836,36.68497849,0.8182,2022,161,Samsun
X12,41.10728836,36.68497849,0.8193,2022,177,Samsun
X12,41.10728836,36.68497849,0.8383,2022,193,Samsun
X12,41.10728836,36.68497849,0.8116,2022,209,Samsun
X12,41.10728836,36.68497849,0.7881,2022,225,Samsun
X12,41.10728836,36.68497849,0.7451,2022,241,Samsun
X12,41.10728836,36.68497849,0.7176,2022,257,Samsun
X12,41.10728836,36.68497849,0.706,2022,273,Samsun
X12,41.10728836,36.68497849,0.6696,2022,289,Samsun
X12,41.10728836,36.68497849,0.7091,2022,305,Samsun
X12,41.10728836,36.68497849,0.5508,2022,321,Samsun
X12,41.10728836,36.68497849,0.5341,2022,337,Samsun
X12,41.10728836,36.68497849,0.5769,2022,353,Samsun
X12,41.10728836,36.68497849,0.5337,2023,1,Samsun
X12,41.10728836,36.68497849,0.5164,2023,17,Samsun
